  题号,题干,选项A,选项B,选项C,选项D,答案,解析
1,不需要放在密封的干燥器内的药品是,盐酸,过硫酸盐,三氯化磷,五氧化二磷,A,
2,在对琼脂糖凝胶进行操作时需要带一次性手套，主要是因为,琼脂糖凝胶具有毒性,电泳缓冲液具有毒性,溴化乙锭EB具有毒性,保护凝胶,C,
3,为了安全，以下贮存于煤油中的金属是,Na, Cu,Fe,Ca,A,
4,自配试剂应贴标签 , 注明化合物名称、浓度,标注配制日期,标注人姓名,以上都必须做到,D,
5,以下物质中，哪些应该在通风橱内操作?,氢气,氢气,氦气,氯化氢,D,
6,购买剧毒药品说法错误的是？,向学校保卫处申请并批准备案 ,经过公安局审批,经过环保局审批,通过正常渠道在指定的化学危险品商店购买,C,
7,具有下列哪些性质的化学品属于化学危险品,爆炸,易燃、腐蚀、放射性,毒害,以上都是,D,
8,实验室存放化学品不得使用哪类冰箱？,机械温控冰箱,电子温控冰箱,防爆冰箱,,A,
9,加热和蒸馏有易燃试剂的实验时，不能用,水浴锅,明火,通风橱,,B,
10,有毒化学试剂是指以较小剂量进入人体而导致疾病或死亡的毒物质,正确,错误,,,A,
11,实验室常用溶剂应按药品类别存放,正确,错误,,,A,
12,存放化学品的场所必须整洁、通风、隔热、安全、远离热源和火源,正确,错误,,,A,
13,普通冰箱中可以存放丙酮、乙醇、乙醚等常用实验试剂,正确,错误,,,B,
14,剧毒化学品、麻醉类和精神类药品需存放在不易移动的保险柜或带双锁的冰箱内，实行“双人领取、双人运输、双人使用、双人双锁保管”的五双制度，并切实做好相关记录,正确,错误,,,A,
15,剧毒、易制毒、易制爆等危险化学品需通过院系、安全保卫处等相关部门审批，由校物资中心危险化学品仓库统一采购,正确,错误,,,A,
16,做实验时酸液不慎滴在皮肤上，应该赶快用酒精棉球擦,正确,错误,,,B,
17,将尚未凝固的琼脂迅速倒入下水道中冲走,正确,错误,,,B,
18,从试剂瓶中取出的药品，如果取出过多，要秉持不浪费的原则，再放回原试剂瓶中,正确,错误,,,B,
19,易燃易爆化学试剂是指闪点在25℃以下的极易挥发的液体、遇明火即可燃烧的物品,正确,错误,,,A,
20,十二烷基硫酸钠(SDS)有毒，易损害眼睛。戴合适的手套和安全护目镜，不要吸入其粉末,正确,错误,,,A,
21,在实验室做实验用到苯酚氯仿等有毒用品要在通风橱中进行操作,正确,错误,,,A,
22,实验室存放的易燃、易爆物品(如氢气、氮气、氧气等)不能放在火源附近，但可以放在电源插头旁边,正确,错误,,,B,
23, 接触化学危险品、剧毒以及致病微生物等的仪器设备和器皿，必须有明确醒目的标记。使用后及时清洁，特别是维修保养或移至到其他场地前，必须进行彻底的净化,正确,错误,,,A,
24,实验废弃物应分类存放，及时送学校废弃物中转站，最后由学校联系有资质的公司进行处理。,正确,错误,,,A,
